School Name,Latitude,Longitude,Enrollment
Hospital School CHI at Temple Street,53.356892,-6.262045,90
ST MICHAELS SPEC SCHOOL,53.35608,-6.35501,170
OUR LADY OF GOOD COUNSEL NS,51.889555,-8.607445,68
St Michaels House Special School,53.398522,-6.12809,57
MARINO SCHOOL N.S.,53.198093,-6.111058,48
CENTRAL REMEDIAL CLINIC,53.368955,-6.201483,88
Enable Ireland Sandymount School,53.329833,-6.218472,46
NEW COURT SCHOOL,53.189308,-6.101024,100
ST JOSEPHS FOR BLIND NS,53.370146,-6.246796,50
ST BERNADETTES SPEC SCH,51.907394,-8.437636,129
School of the Divine Child (Scoil an Linbh Íosa),51.896615,-8.433668,46
ST AUGUSTINES SCHOOL,53.288354,-6.181884,152
NAOMH MHUIRE,53.610875,-7.070984,34
ST DECLANS SPECIAL SCH,53.335271,-6.237929,37
SCOIL EANNA,51.905811,-8.441813,75
ST MICHAELS HSE SPEC SC,53.269817,-6.207178,68
CATHERINE MC AULEY SP S,52.652081,-8.644942,271
ST MICHAELS HSE SPEC SC,53.379961,-6.266751,53
ST BRIGHIDS SPECIAL SCH,54.006053,-6.417707,93
Solas Hospital School,53.326037,-6.318609,86
OUR LADY OF LOURDES SCHOOL,53.275275,-6.152547,8
BENINCASA SPECIAL SCHOOL,53.302223,-6.184109,38
ST PETERS SPECIAL SCH,53.310867,-6.26914,60
ST ITAS SPECIAL SCHOOL,53.722053,-6.347947,177
ST RAPHAELS SPECIAL SCH,53.337695,-6.545651,96
STEWARTS SCHOOL,53.342607,-6.418527,136
St Vincents Home NS,53.369812,-6.326162,69
ST JOSEPHS SPECIAL SCH,53.283392,-9.071786,81
ST MARTINS SPECIAL SCH,52.245089,-7.106467,96
ST JOHN OF GOD SP SCH,53.343916,-6.310551,88
ST VINCENTS SP SCHOOL,52.668414,-8.524257,100
Lakeview School,53.279607,-9.028495,64
St Paul's School,51.90562,-8.44008,95
St. Cecilia's School,54.304752,-8.514206,75
The Adelaide and Meath Hospital,53.291698,-6.378737,11
MOTHER OF FAIR LOVE SPEC SCHOOL,52.65214,-7.256272,70
ST MARYS SPECIAL SCH,53.863387,-6.376493,80
ST ULTANS SPECIAL SCH,53.658255,-6.680237,123
CORMAIC SPECIAL SCHOOL,52.516359,-7.892983,219
ST CLARES SPECIAL SCH,52.857044,-8.978622,106
ST PATRICKS SPEC SCHOOL,52.49904,-6.547586,162
ST JOSEPHS SPECIAL SCH,52.258423,-7.110182,106
ST ANTHONYS SPECIAL SC,53.847267,-9.307043,65
ST HILDAS SP SCH,53.425222,-7.930424,51
OUR LADY OF FATIMA SP S,52.334603,-6.464274,118
ST ANNES SPECIAL SCHOOL,53.159584,-6.819436,75
ST JOHNS SPECIAL SCH,52.087075,-7.626576,74
ST LASERIANS SPECIAL SC,52.843679,-6.923739,137
ST PAULS HOSPITAL SPECIAL SCHOOL,53.390257,-6.231302,54
ST CIARANS SPEC SCH,53.383565,-6.273367,143
ST FRANCIS S S,53.038749,-7.291646,117
ST JOSEPHS SPECIAL SCH,54.282019,-8.468839,49
BALLYOWEN MEADOWS,53.248759,-6.13037,54
AN TAONAD REAMHSCOILE,53.354978,-6.252499,96
ST ANNES SPECIAL SCH,52.95026,-7.775304,48
ST MICHAELS HSE SP SCH,53.386248,-6.17391,52
ST BRIDS SPECIAL SCH,53.851763,-9.29743,35
ST ITAS & ST JOSEPHS NS,52.272975,-9.714184,136
SCOIL EOIN,53.32009,-6.30691,133
ST PATRICKS SPEC SCH,52.63313,-7.260184,89
ST DYMPNAS SPEC SCHOOL,54.117561,-9.166615,33
CASA CATERINA S S,53.37211,-6.30828,31
ST KILLIANS SPEC SCH,51.91465,-8.43175,89
ST ANNES S S,52.853859,-8.975535,142
ST CHRISTOPHERS S S,53.733281,-7.802673,40
HOLY FAMILY S S,52.355991,-8.6754,87
HOLY FAMILY S S,54.0776,-7.09053,181
ST MARKS SPECIAL SCHOOL,53.186847,-6.814121,98
ST OLIVER PLUNKETT SP SC,53.29262,-6.153979,63
PHOENIX PARK SPECIALIST SCHOOL,53.368406,-6.327873,18
ST JOSEPHS SPECIAL SCH,53.295207,-6.34057,87
ST CATHERINES SPECIAL SCHOOL,53.080792,-6.094266,90
School of the Holy Spirit Special School,52.637243,-7.266754,83
ST FRANCIS SPECIAL SCH,52.078876,-9.703024,62
NANO NAGLE N SCHOOL,52.448564,-9.496105,89
ST MARYS SPECIAL SCHOOL,53.634475,-6.645036,78
SCOIL AINE,53.274179,-8.998753,15
ST AUGUSTINES SPEC SCH,52.660475,-8.623658,23
Scoil Mochua,53.319572,-6.423455,73
ST BERNADETTE SPEC SCH,54.955337,-7.749008,113
YOUTH ENCOUNTER PROJECT,53.384096,-6.318008,18
ST GABRIELS SCHOOL,52.637511,-8.650961,64
SCOIL AONGHUSA,52.5076,-7.891769,150
Linn Dara Schools,53.344477,-6.378766,42
Coláiste Shliabh na mBan,52.359053,-7.651922,15
CATHERINE MC AULEY N SC,53.336205,-6.246263,99
MID WEST SCHOOL FOR THE DEAF,52.647465,-8.631556,43
LITTLE ANGELS SPEC SCH,54.963177,-7.729751,133
ST MICHAELS SPEC SCH,53.565479,-6.111903,30
ST MARYS SPEC SCH,51.860541,-8.381758,72
SCOIL TRIEST,51.908605,-8.399916,72
ST NICHOLAS SPEC SCH,54.117561,-9.166615,24
ST KEVINS SCHOOL,51.893241,-8.466208,16
SCOIL MICHEAL NAOFA,53.764877,-8.486531,77
ST BRIGIDS SPEC SCH,53.528822,-7.344153,80
ST L O TOOLES 2 SPEC,53.355049,-6.244974,20
ST ROSES SPECIAL SCHOOL,53.292556,-6.345958,63
HENRIETTA STREET SCHOOL,53.352819,-6.270523,20
SETANTA SPECIAL SCHOOL,53.305056,-6.328394,65
CHEEVERSTOWN SP SCH,53.294246,-6.314331,26
ROSEDALE SCHOOL,53.279736,-9.027274,75
ST GABRIELS SPECIAL SCHOOL,51.878522,-8.536957,42
OFFALY SCHOOL OF SPECIAL EDUCATION,53.269615,-7.497567,40
THE KOLBE SPECIAL SCHOOL,53.0336,-7.2749,43
ST CANICES SPECIAL SCHOOL,52.655148,-8.612158,10
CORK UNIVERSITY HOS SCHOOL,51.883364,-8.510529,17
CARMONA SPECIAL NATIONAL SCHOOL,53.280365,-6.135112,39
CRANNOG NUA SPECIAL SCHOOL,53.491007,-6.115328,6
ST JOSEPH'S ADOLESCENT SCHOOL,53.365063,-6.245201,13
BEAUMONT HOSPITAL SPECIAL SCHOOL,53.392043,-6.22435,3
SONAS SPECIAL PRIMARY JUNIOR SCHOOL,51.825579,-8.400147,48
THE CHILDRENS ARK,52.635869,-8.653332,25
St Michael's House Special National School Foxfield,53.387052,-6.159799,53
Red Hill School,52.616459,-8.686033,62
St. Teresa's Special School,53.338242,-8.202522,45
Tígh Nan Dooley Child Education and Development Centre,53.264067,-9.599682,16
St. Oliver's Child Education and Development Centre,53.511141,-8.848148,36
Scoil Aisling,51.892011,-8.453656,36
Cara Junior School,51.917077,-8.426176,72
Saplings Carlow Special School,52.849256,-6.99372,30
Ábalta Special School,53.303413,-8.988349,18
Saplings Special School,53.284868,-6.301782,29
Saplings Special School,53.518491,-7.342188,36
ABACAS School,53.70997,-6.352562,31
ABACAS Kilbarrack,53.386869,-6.157237,54
Saplings Special School,53.249922,-6.587638,30
Saplings Special School,52.629559,-6.996463,12
ABACAS Special School for Children with Autism,53.300607,-6.357688,30
Stepping Stones Special School,53.384548,-6.596452,30
Jonah Special School,52.282433,-7.069006,12
Red Door Special School,53.287264,-6.154967,30
Ballydowd High Support Special School,53.356463,-6.405672,6
Holy Family School for the Deaf,53.365283,-6.30442,138
Danu Community Special School,53.401924,-6.379346,36
Our Lady of Hope School,53.320851,-6.306259,45
Carrigaline Community Special School,51.820514,-8.387098,48
Libermann Spiritan School,53.304484,-6.313053,24
Rochestown Community Special School,51.869149,-8.397431,35
An Cosan CSS,TBC,TBC,0
East Cork Community Special School,TBC,TBC,0
,,,9326
